Genotype,SnakeMuscle,Baseline_force,Fmax,Time_to_Fmax,Time_to_0.1Fmax,Time_to_0.5relax,Contraction_Duration_10_to_50,dFdtmax,dFdtmin,Time_to_dFdtmax,Time_to_dFdtmin,Contraction_Duration_max_to_min,MAMU,SVLmm,MuscleMass,BodyMass,Days_in_Captivity,Sex
WTa,CRF3607-M1,4.088045545,0.096971764,36.8,10.7,53.9,43.2,6.418557749,-4.367085331,13.8,48,34.2,,,,,,
WTa,CRF3608-M1,1.8542621,0.200136477,36.7,9.8,94.8,85,21.02565284,-12.64535807,12.7,65.8,53.1,,,,,,
WTa,CRF3609-M2,1.814189692,0.163579508,36.6,9.3,67.1,57.8,16.01428984,-14.12376562,11.3,,-11.2,,,,,,
WTa,CRF3610-M1,5.030283746,0.52123914,34.2,10.4,58.3,47.9,32.7059178,-13.4687075,11.8,48.8,37,,,,,,
WTa,CRF3611-M1,6.621605825,0.410503046,40.8,11,68.6,57.6,19.84965389,-9.924271548,14.4,54.1,39.7,,,,,,
WTa,CRF3613-M1,4.377688143,0.866297085,40.4,8.3,82.7,74.4,44.5883201,-13.08230112,10.5,69.9,59.4,,,,,,
WTa,CRF3614-M1,5.538641635,0.315396736,30.7,9.2,49.3,40.1,20.71245401,-11.23510595,10.7,42.5,31.8,,,,,,
WTa,CRF3615-M1,2.202250002,0.47828637,48.4,13.5,86.2,72.7,24.02173739,-12.85831103,15.2,72.6,57.4,,,,,,
WTa,CRF3617-M2,2.703270859,0.423777302,41.6,10.6,73.4,62.8,18.65348521,-8.562207657,17.4,65,47.6,,,,,,
WTa,CRF3618-M1,3.273298676,0.712507282,32.6,8.5,58.9,50.4,59.06283448,-18.70851505,8.5,44.3,35.8,,,,,,
WTa,CRF3619-M1,2.981544911,0.395412106,31.2,9.5,54.5,45,29.42745664,-11.59273527,11.7,40.7,29,,,,,,
WTa,CRF3620-M1,2.70750761,0.973071137,47.8,8.6,79.6,71,47.04953538,-19.67862345,8.8,66.4,57.6,,,,,,
WTa,CRF3621-M1,3.454109472,0.782130162,49.6,9.8,95,85.2,32.93855486,-11.25287213,13.7,81.7,68,,,,,,
LVNV,CRF2399-M1,0.647564346,0.078178018,23.8,6.5,35.6,29.1,5.649620036,-3.978875459,13.2,33.9,20.7,250,,0.0617,68.6,779,F
LVNV,CRF2941-M1,0.377839825,0.052476739,31.2,10.7,42.4,31.7,2.964298768,-2.882998607,19.3,43.3,24,,,0.0722,,48,
LVNV,CRF3275-M1,2.35465096,0.141464814,37.5,9.5,59.8,50.3,6.190614394,-4.189450299,14.3,50.4,36.1,5426.85,480,0.1401,71.56,270,F
LVNV,HOP02-M2,0.085803024,0.059142521,35.8,9.3,63.3,54,3.230212011,-1.252728398,16.5,45.9,29.4,250,,0.1106,35.4,198,
LVNV,REdC1-M1,1.157416223,0.12082603,26.6,7.7,47.1,39.4,9.103802357,-3.439462123,11,41.4,30.4,250,500,0.0772,49,370,M
LVNV,REdC2-M1,0.740709927,0.063964932,55.4,15.1,78.8,63.7,9.190311028,-11.90853826,26.8,,123.2,250,540,0.1212,70,371,M
LVNV,REdC5-M1,1.015129774,0.077774957,39.4,10.8,59,48.2,9.275156277,-15.69120897,150,,-149.9,250,460,0.11,49,373,M
LVNV,REdC6-M1,0.603886756,0.051218756,31.5,8.6,47,38.4,2.870629389,-1.745145132,16.7,43.1,26.4,250,510,0.1008,54,385,M
LVNV,REdC7-M1,0.730172752,0.030408422,39.3,9.9,62.8,52.9,1.407180191,-0.615886219,22.2,51.8,29.6,250,500,0.1322,78,398,F
LVNV,REdC8-M1,0.789360893,0.111110707,31.4,8.5,42.7,34.2,8.508854907,-6.751093975,15.4,40.4,25,250,480,0.1015,47,368,
LVNV,REdC9-M1,0.856267301,0.084689339,40.9,11.8,58.8,47,7.355886935,-5.889574676,24.9,,-24.2,250,510,0.1333,50,387,M
LVNV,CRF2399-M1,0.650536849,0.077705566,23.8,7.5,35.6,28.1,5.649620036,-3.978875459,13.2,33.9,20.7,,,,,,
LVNV,CRF2941-M1,0.373502964,0.053065798,31.2,9.8,42.4,32.6,2.964298768,-2.882998607,19.3,43.3,24,,,,,,
LVNV,CRF3275-M1,2.324925239,0.14354554,37.5,9.2,60.4,51.2,6.190614394,-4.189450299,14.3,50.4,36.1,,,,,,
LVNV,HOP02-M2,0.114169757,0.056627307,35.8,10.4,60.7,50.3,3.230212011,-1.252728398,16.5,45.9,29.4,,,,,,
LVNV,REdC1-M1,1.146610555,0.122198664,26.6,7,47.6,40.6,9.103802357,-3.439462123,11,41.4,30.4,,,,,,
LVNV,REdC2-M1,0.7214154,0.06552611,55.4,1.1,80.4,79.3,9.190311028,-11.90853826,26.8,,123.2,,,,,,
LVNV,REdC5-M1,1.030060332,0.076443877,39.4,10.9,59,48.1,9.275156277,-15.69120897,150,,-149.9,,,,,,
LVNV,REdC6-M1,0.623718811,0.049289331,31.5,9.4,46.2,36.8,2.870629389,-1.745145132,16.7,43.1,26.4,,,,,,
